CDUID,GEOCODE,GEOLABEL,allHouses,noCar,carAvail,pcNoCar
1211007,E06000001,Hartlepool,40434,14268,26166,35.29
1211008,E06000002,Middlesbrough,57203,21488,35715,37.56
1211009,E06000003,Redcar and Cleveland,59605,16935,42670,28.41
1211010,E06000004,Stockton-on-Tees,79159,20524,58635,25.93
1211011,E06000005,Darlington,46670,13052,33618,27.97
1211012,E06000006,Halton,53312,14380,38932,26.97
1211013,E06000007,Warrington,85140,16409,68731,19.27
1211014,E06000008,Blackburn with Darwen,57353,17502,39851,30.52
1211015,E06000009,Blackpool,64367,23635,40732,36.72
1211016,E06000010,"Kingston upon Hull, City of",112596,45748,66848,40.63
1211017,E06000011,East Riding of Yorkshire,143032,25200,117832,17.62
1211018,E06000012,North East Lincolnshire,69707,21481,48226,30.82
1211019,E06000013,North Lincolnshire,70684,14617,56067,20.68
1211020,E06000014,York,83552,21808,61744,26.10
1211021,E06000015,Derby,102271,29593,72678,28.94
1211022,E06000016,Leicester,123125,45375,77750,36.85
1211023,E06000017,Rutland,15002,1859,13143,12.39
1211024,E06000018,Nottingham,126131,55093,71038,43.68
1211025,E06000019,"Herefordshire, County of",78319,12826,65493,16.38
1211026,E06000020,Telford and Wrekin,66608,13748,52860,20.64
1211027,E06000021,Stoke-on-Trent,107575,33225,74350,30.89
1211028,E06000022,Bath and North East Somerset,73515,16158,57357,21.98
1211029,E06000023,"Bristol, City of",182747,52814,129933,28.90
1211030,E06000024,North Somerset,88227,15151,73076,17.17
1211031,E06000025,South Gloucestershire,107538,14044,93494,13.06
1211032,E06000026,Plymouth,109307,30438,78869,27.85
1211033,E06000027,Torbay,59010,15063,43947,25.53
1211034,E06000028,Bournemouth,82374,21333,61041,25.90
1211035,E06000029,Poole,63530,11245,52285,17.70
1211036,E06000030,Swindon,88360,19060,69300,21.57
1211037,E06000031,Peterborough,74023,18412,55611,24.87
1211038,E06000032,Luton,74293,20389,53904,27.44
1211039,E06000033,Southend-on-Sea,74678,20383,54295,27.29
1211040,E06000034,Thurrock,62353,12527,49826,20.09
1211041,E06000035,Medway,106209,23231,82978,21.87
1211042,E06000036,Bracknell Forest,45878,6275,39603,13.68
1211043,E06000037,West Berkshire,62340,7759,54581,12.45
1211044,E06000038,Reading,62869,17819,45050,28.34
1211045,E06000039,Slough,50766,11885,38881,23.41
1211046,E06000040,Windsor and Maidenhead,58349,7782,50567,13.34
1211047,E06000041,Wokingham,60332,5422,54910,8.99
1211048,E06000042,Milton Keynes,98584,18656,79928,18.92
1211049,E06000043,Brighton and Hove,121540,46415,75125,38.19
1211050,E06000044,Portsmouth,85473,28533,56940,33.38
1211051,E06000045,Southampton,98254,28996,69258,29.51
1211052,E06000046,Isle of Wight,61085,13761,47324,22.53
1211053,E06000047,County Durham,223803,60926,162877,27.22
1211054,E06000048,Northumberland,138534,30543,107991,22.05
1211055,E06000049,Cheshire East,159441,25709,133732,16.12
1211056,E06000050,Cheshire West and Chester,141442,26297,115145,18.59
1211057,E06000051,Shropshire,129674,20483,109191,15.80
1211058,E06000052,Cornwall,230389,39937,190452,17.33
1211059,E06000053,Isles of Scilly,989,492,497,49.75
1211060,E06000054,Wiltshire,194194,28660,165534,14.76
1211061,E06000055,Bedford,63812,13137,50675,20.59
1211062,E06000056,Central Bedfordshire,104399,13820,90579,13.24
1211063,E07000004,Aylesbury Vale,69406,9244,60162,13.32
1211064,E07000005,Chiltern,36946,4018,32928,10.88
1211065,E07000006,South Bucks,26514,2711,23803,10.22
1211066,E07000007,Wycombe,67861,9288,58573,13.69
1211067,E07000008,Cambridge,46714,15702,31012,33.61
1211068,E07000009,East Cambridgeshire,34614,4510,30104,13.03
1211069,E07000010,Fenland,40620,7364,33256,18.13
1211070,E07000011,Huntingdonshire,69333,9441,59892,13.62
1211071,E07000012,South Cambridgeshire,59960,6571,53389,10.96
1211072,E07000026,Allerdale,42345,8805,33540,20.79
1211073,E07000027,Barrow-in-Furness,31224,9345,21879,29.93
1211074,E07000028,Carlisle,48342,11932,36410,24.68
1211075,E07000029,Copeland,30536,7143,23393,23.39
1211076,E07000030,Eden,23043,3211,19832,13.93
1211077,E07000031,South Lakeland,46552,7142,39410,15.34
1211078,E07000032,Amber Valley,52596,10109,42487,19.22
1211079,E07000033,Bolsover,32801,7662,25139,23.36
1211080,E07000034,Chesterfield,46796,12678,34118,27.09
1211081,E07000035,Derbyshire Dales,30744,4557,26187,14.82
1211082,E07000036,Erewash,48692,10903,37789,22.39
1211083,E07000037,High Peak,38946,7632,31314,19.60
1211084,E07000038,North East Derbyshire,43070,8042,35028,18.67
1211085,E07000039,South Derbyshire,38992,5249,33743,13.46
1211086,E07000040,East Devon,59071,9409,49662,15.93
1211087,E07000041,Exeter,49242,13323,35919,27.06
1211088,E07000042,Mid Devon,32758,4696,28062,14.34
1211089,E07000043,North Devon,40001,7609,32392,19.02
1211090,E07000044,South Hams,36858,4920,31938,13.35
1211091,E07000045,Teignbridge,54003,8673,45330,16.06
1211092,E07000046,Torridge,27986,4553,23433,16.27
1211093,E07000047,West Devon,22725,2922,19803,12.86
1211094,E07000048,Christchurch,21475,3843,17632,17.90
1211095,E07000049,East Dorset,37564,3880,33684,10.33
1211096,E07000050,North Dorset,28670,3447,25223,12.02
1211097,E07000051,Purbeck,19583,2832,16751,14.46
1211098,E07000052,West Dorset,44386,6961,37425,15.68
1211099,E07000053,Weymouth and Portland,28535,7058,21477,24.73
1211100,E07000061,Eastbourne,45012,12911,32101,28.68
1211101,E07000062,Hastings,41159,13693,27466,33.27
1211102,E07000063,Lewes,42181,8488,33693,20.12
1211103,E07000064,Rother,40877,7781,33096,19.04
1211104,E07000065,Wealden,62676,7801,54875,12.45
1211105,E07000066,Basildon,72746,15962,56784,21.94
1211106,E07000067,Braintree,61043,9866,51177,16.16
1211107,E07000068,Brentwood,30646,4555,26091,14.86
1211108,E07000069,Castle Point,36440,6113,30327,16.78
1211109,E07000070,Chelmsford,69667,10921,58746,15.68
1211110,E07000071,Colchester,71634,14741,56893,20.58
1211111,E07000072,Epping Forest,51991,7965,44026,15.32
1211112,E07000073,Harlow,34620,8626,25994,24.92
1211113,E07000074,Maldon,25817,3247,22570,12.58
1211114,E07000075,Rochford,33564,4874,28690,14.52
1211115,E07000076,Tendring,62105,14502,47603,23.35
1211116,E07000077,Uttlesford,31316,3150,28166,10.06
1211117,E07000078,Cheltenham,50929,11222,39707,22.03
1211118,E07000079,Cotswold,36236,4573,31663,12.62
1211119,E07000080,Forest of Dean,34167,4907,29260,14.36
1211120,E07000081,Gloucester,50363,11372,38991,22.58
1211121,E07000082,Stroud,47794,6631,41163,13.87
1211122,E07000083,Tewkesbury,35126,4775,30351,13.59
1211123,E07000084,Basingstoke and Deane,69315,10555,58760,15.23
1211124,E07000085,East Hampshire,47258,5284,41974,11.18
1211125,E07000086,Eastleigh,52177,6928,45249,13.28
1211126,E07000087,Fareham,46579,6257,40322,13.43
1211127,E07000088,Gosport,35430,8097,27333,22.85
1211128,E07000089,Hart,35510,2856,32654,8.04
1211129,E07000090,Havant,51311,10623,40688,20.70
1211130,E07000091,New Forest,76839,10232,66607,13.32
1211131,E07000092,Rushmoor,36344,6042,30302,16.62
1211132,E07000093,Test Valley,47626,6426,41200,13.49
1211133,E07000094,Winchester,46865,6705,40160,14.31
1211134,E07000095,Broxbourne,37658,6605,31053,17.54
1211135,E07000096,Dacorum,59938,9839,50099,16.42
1211136,E07000097,East Hertfordshire,56577,7226,49351,12.77
1211137,E07000098,Hertsmere,39778,6769,33009,17.02
1211138,E07000099,North Hertfordshire,53426,8895,44531,16.65
