CDUID,GEOCODE,allHouseholds,ownerOccupied,notOO,pcNotOO
1211007,E06000001,40434,24194,16240,40.16
1211008,E06000002,57203,32723,24480,42.79
1211009,E06000003,59605,39705,19900,33.39
1211010,E06000004,79159,54225,24934,31.50
1211011,E06000005,46670,30289,16381,35.10
1211012,E06000006,53312,33796,19516,36.61
1211013,E06000007,85140,60915,24225,28.45
1211014,E06000008,57353,36793,20560,35.85
1211015,E06000009,64367,39650,24717,38.40
1211016,E06000010,112596,55785,56811,50.46
1211017,E06000011,143032,107706,35326,24.70
1211018,E06000012,69707,46070,23637,33.91
1211019,E06000013,70684,49137,21547,30.48
1211020,E06000014,83552,55227,28325,33.90
1211021,E06000015,102271,62765,39506,38.63
1211022,E06000016,123125,61170,61955,50.32
1211023,E06000017,15002,10556,4446,29.64
1211024,E06000018,126131,56867,69264,54.91
1211025,E06000019,78319,53014,25305,32.31
1211026,E06000020,66608,42417,24191,36.32
1211027,E06000021,107575,63928,43647,40.57
1211028,E06000022,73515,49068,24447,33.25
1211029,E06000023,182747,98708,84039,45.99
1211030,E06000024,88227,64365,23862,27.05
1211031,E06000025,107538,80586,26952,25.06
1211032,E06000026,109307,64157,45150,41.31
1211033,E06000027,59010,39424,19586,33.19
1211034,E06000028,82374,47057,35317,42.87
1211035,E06000029,63530,44702,18828,29.64
1211036,E06000030,88360,57902,30458,34.47
1211037,E06000031,74023,43877,30146,40.73
1211038,E06000032,74293,44696,29597,39.84
1211039,E06000033,74678,48666,26012,34.83
1211040,E06000034,62353,41278,21075,33.80
1211041,E06000035,106209,71853,34356,32.35
1211042,E06000036,45878,31419,14459,31.52
1211043,E06000037,62340,43435,18905,30.33
1211044,E06000038,62869,34479,28390,45.16
1211045,E06000039,50766,26755,24011,47.30
1211046,E06000040,58349,39676,18673,32.00
1211047,E06000041,60332,48103,12229,20.27
1211048,E06000042,98584,56913,41671,42.27
1211049,E06000043,121540,64790,56750,46.69
1211050,E06000044,85473,46897,38576,45.13
1211051,E06000045,98254,48873,49381,50.26
1211052,E06000046,61085,42817,18268,29.91
1211053,E06000047,223803,147347,76456,34.16
1211054,E06000048,138534,91207,47327,34.16
1211055,E06000049,159441,118766,40675,25.51
1211056,E06000050,141442,100105,41337,29.23
1211057,E06000051,129674,89688,39986,30.84
1211058,E06000052,230389,158524,71865,31.19
1211059,E06000053,989,412,577,58.34
1211060,E06000054,194194,131083,63111,32.50
1211061,E06000055,63812,41937,21875,34.28
1211062,E06000056,104399,75743,28656,27.45
1211063,E07000004,69406,49702,19704,28.39
1211064,E07000005,36946,28418,8528,23.08
1211065,E07000006,26514,19453,7061,26.63
1211066,E07000007,67861,47279,20582,30.33
1211067,E07000008,46714,22171,24543,52.54
1211068,E07000009,34614,23719,10895,31.48
1211069,E07000010,40620,28436,12184,30.00
1211070,E07000011,69333,49398,19935,28.75
1211071,E07000012,59960,42129,17831,29.74
1211072,E07000026,42345,29217,13128,31.00
1211073,E07000027,31224,22938,8286,26.54
1211074,E07000028,48342,32999,15343,31.74
1211075,E07000029,30536,21671,8865,29.03
1211076,E07000030,23043,16258,6785,29.44
1211077,E07000031,46552,33967,12585,27.03
1211078,E07000032,52596,38974,13622,25.90
1211079,E07000033,32801,21963,10838,33.04
1211080,E07000034,46796,29547,17249,36.86
1211081,E07000035,30744,22269,8475,27.57
1211082,E07000036,48692,35290,13402,27.52
1211083,E07000037,38946,28059,10887,27.95
1211084,E07000038,43070,30531,12539,29.11
1211085,E07000039,38992,29416,9576,24.56
1211086,E07000040,59071,44283,14788,25.03
1211087,E07000041,49242,29443,19799,40.21
1211088,E07000042,32758,22626,10132,30.93
1211089,E07000043,40001,27383,12618,31.54
1211090,E07000044,36858,26440,10418,28.27
1211091,E07000045,54003,39678,14325,26.53
1211092,E07000046,27986,19998,7988,28.54
1211093,E07000047,22725,16630,6095,26.82
