"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"1","E06000001",1211007,"Hartlepool",40434,40054,380,0.94,1211007,40434,24194,16240,40.16
"2","E06000002",1211008,"Middlesbrough",57203,56221,982,1.72,1211008,57203,32723,24480,42.79
"3","E06000003",1211009,"Redcar and Cleveland",59605,59142,463,0.78,1211009,59605,39705,19900,33.39
"4","E06000004",1211010,"Stockton-on-Tees",79159,78419,740,0.93,1211010,79159,54225,24934,31.5
"5","E06000005",1211011,"Darlington",46670,46272,398,0.85,1211011,46670,30289,16381,35.1
"6","E06000006",1211012,"Halton",53312,52789,523,0.98,1211012,53312,33796,19516,36.61
"7","E06000007",1211013,"Warrington",85140,84413,727,0.85,1211013,85140,60915,24225,28.45
"8","E06000008",1211014,"Blackburn with Darwen",57353,55850,1503,2.62,1211014,57353,36793,20560,35.85
"9","E06000009",1211015,"Blackpool",64367,63764,603,0.94,1211015,64367,39650,24717,38.4
"10","E06000010",1211016,"Kingston upon Hull, City of",112596,110759,1837,1.63,1211016,112596,55785,56811,50.46
"11","E06000011",1211017,"East Riding of Yorkshire",143032,142155,877,0.61,1211017,143032,107706,35326,24.7
"12","E06000012",1211018,"North East Lincolnshire",69707,69109,598,0.86,1211018,69707,46070,23637,33.91
"13","E06000013",1211019,"North Lincolnshire",70684,69968,716,1.01,1211019,70684,49137,21547,30.48
"14","E06000014",1211020,"York",83552,82701,851,1.02,1211020,83552,55227,28325,33.9
"15","E06000015",1211021,"Derby",102271,100189,2082,2.04,1211021,102271,62765,39506,38.63
"16","E06000016",1211022,"Leicester",123125,117145,5980,4.86,1211022,123125,61170,61955,50.32
"17","E06000017",1211023,"Rutland",15002,14930,72,0.48,1211023,15002,10556,4446,29.64
"18","E06000018",1211024,"Nottingham",126131,122910,3221,2.55,1211024,126131,56867,69264,54.91
"19","E06000019",1211025,"Herefordshire, County of",78319,77468,851,1.09,1211025,78319,53014,25305,32.31
"20","E06000020",1211026,"Telford and Wrekin",66608,65692,916,1.38,1211026,66608,42417,24191,36.32
"21","E06000021",1211027,"Stoke-on-Trent",107575,105711,1864,1.73,1211027,107575,63928,43647,40.57
"22","E06000022",1211028,"Bath and North East Somerset",73515,72824,691,0.94,1211028,73515,49068,24447,33.25
"23","E06000023",1211029,"Bristol, City of",182747,178623,4124,2.26,1211029,182747,98708,84039,45.99
"24","E06000024",1211030,"North Somerset",88227,87661,566,0.64,1211030,88227,64365,23862,27.05
"25","E06000025",1211031,"South Gloucestershire",107538,106622,916,0.85,1211031,107538,80586,26952,25.06
"26","E06000026",1211032,"Plymouth",109307,107758,1549,1.42,1211032,109307,64157,45150,41.31
"27","E06000027",1211033,"Torbay",59010,58428,582,0.99,1211033,59010,39424,19586,33.19
"28","E06000028",1211034,"Bournemouth",82374,80889,1485,1.8,1211034,82374,47057,35317,42.87
"29","E06000029",1211035,"Poole",63530,62762,768,1.21,1211035,63530,44702,18828,29.64
"30","E06000030",1211036,"Swindon",88360,86912,1448,1.64,1211036,88360,57902,30458,34.47
